# Time(ns) B(a.u.) 
-3299.99 -5.6307e-05
-3298.76 -8.85324e-05
-3297.49 -4.8825e-06
-3296.26 -3.88636e-05
-3294.99 2.68073e-05
-3293.76 -3.08072e-05
-3292.49 2.92279e-05
-3291.26 1.22651e-05
-3289.99 8.12435e-05
-3288.76 -3.94919e-05
-3287.49 -2.66514e-06
-3286.26 -7.18286e-05
-3284.99 4.52282e-06
-3283.76 -1.50639e-05
-3282.49 -2.45432e-05
-3281.26 -8.49293e-05
-3279.99 2.60128e-05
-3278.76 -3.29506e-05
-3277.49 3.33301e-05
-3276.26 -1.44911e-05
-3274.99 3.45866e-05
-3273.76 5.98256e-06
-3272.49 6.45947e-05
-3271.26 -1.93693e-05
-3269.99 -2.50236e-05
-3268.76 -7.09969e-05
-3267.49 7.14671e-06
-3266.26 -7.14219e-05
-3264.99 1.07499e-05
-3263.76 -1.14237e-05
-3262.49 9.89993e-06
-3261.26 -0.000103259
-3259.99 3.35149e-05
-3258.76 -6.57491e-05
-3257.49 -2.61138e-05
-3256.26 -3.2692e-05
-3254.99 -2.05149e-05
-3253.76 -9.73649e-05
-3252.49 3.58616e-05
-3251.26 -6.55091e-05
-3249.99 3.30326e-06
-3248.76 -0.00011697
-3247.49 -0.000129314
-3246.26 -0.000166491
-3244.99 -1.39922e-05
-3243.76 -5.056e-05
-3242.49 5.00344e-05
-3241.26 -6.57862e-05
-3239.99 3.46956e-06
-3238.76 -1.86671e-05
-3237.49 5.94024e-05
-3236.26 -3.66832e-05
-3234.99 2.27421e-05
-3233.76 -5.65103e-05
-3232.49 -8.57811e-06
-3231.26 -2.37301e-05
-3229.99 4.55808e-05
-3228.76 4.59674e-06
-3227.49 -4.63102e-05
-3226.26 -7.46943e-06
-3224.99 -6.8373e-05
-3223.76 -0.000106383
-3222.49 -7.2495e-07
-3221.26 -9.38633e-05
-3219.99 -9.74038e-06
-3218.76 -8.00677e-05
-3217.49 -8.40033e-05
-3216.26 -7.08655e-05
-3214.99 3.40894e-05
-3213.76 -3.02509e-05
-3212.49 3.89491e-05
-3211.26 -6.6361e-06
-3209.99 -9.51866e-06
-3208.76 -4.13193e-05
